numero,compromiso,titulo,desc,categoria,slug,area1,area2,area3,area4,embed_map_titulo,embed_map_url,imagen,cumplimiento,cumplimiento_label,porcentaje_completado,cumplimiento_2,cumplimiento_2_label,cumplimiento_2_porcentaje_completado,url_interna
11,Educación digital en sala de 5,Educación digital en sala de 5,¡Compromiso cumplido! Nos comprometimos a que en 2017 el 100% de las escuelas con sala de 5 años contasen con un atelier digital.,Creatividad,creatividad,Transformación educativa,Creatividad y Cultura,,,,,https://cdn2.buenosaires.gob.ar/compromisos/11educaciondigital.jpg,2017,Porcentaje de aulas digitales,100,,,,http://www.buenosaires.gob.ar/compromisos/educacion-digital-para-los-chicos-desde-los-5-anos
12,30 nuevas escuelas con sala de 3 años,30 nuevas escuelas con sala de 3 años,Nos comprometemos a ampliar la cobertura educativa en niños para que puedan alcanzar su máximo potencial.,Integración Social,social,Transformación educativa,Género,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_escuelas_con_sala_de_3/,https://cdn2.buenosaires.gob.ar/compromisos/12salasdetres.jpg,2019,Avance promedio de obras,77,,,,http://www.buenosaires.gob.ar/compromisos/30-nuevas-escuelas-para-sala-de-3-anos
13,Duplicar los alumnos con niveles superiores en desempeño en matemática,Duplicar el desempeño superior en matemática,Nos comprometemos a duplicar el doble el porcentaje de alumnos de séptimo grado de primaria en niveles medio y avanzado de desempeño en matemática en las pruebas FEPBA.,Integración Social,social,Transformación educativa,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/13matematicas.jpg,2019,Porcentaje de avance de la meta,52,,,,http://www.buenosaires.gob.ar/compromisos/duplicar-el-porcentaje-de-alumnos-en-niveles-superiores-de-desempeno-en-matematicas
14,1.000 policías más a la calle,1.000 policías más a la calle,"¡Compromiso cumplido! Nos comprometimos a destinar 1.000 policías adicionales a la calle para fines de 2016, de manera que puedan cuidar mejor a nuestros vecinos.",Disfrute y Convivencia,disfrute,Seguridad,Género,,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/field/image/poli_1_bis.jpg,2016,Cantidad adicional de agentes en calle,100,,,,http://www.buenosaires.gob.ar/compromisos/destinar-1000-policias-mas-la-calle
15,Mapa del delito online,Mapa del delito online,¡Compromiso cumplido! Nos comprometimos a elaborar y publicar en 2017 un mapa de estadísticas delictivas para que todos los vecinos puedan consultarlo de forma online.,Disfrute y Convivencia,disfrute,Seguridad,Género,,,,,https://cdn2.buenosaires.gob.ar/compromisos/15mapadelito.jpg,2017,Avance en actividades,100,,,,http://www.buenosaires.gob.ar/compromisos/mapa-del-delito-con-acceso-de-los-vecinos
16,Duplicar puntos de acceso WI FI en espacios públicos al aire libre,Duplicar puntos de acceso WIFI,¡Compromiso cumplido! Nos comprometimos a duplicar los puntos de acceso gratuito BA WiFi en espacios públicos al aire libre para mejorar y ampliar la conectividad a Internet de todos los vecinos y visitantes de la Ciudad.,Creatividad,creatividad,Más espacio público y verde de calidad,Creatividad y Cultura,,,Mapa zonas BA WiFi,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_wifi/,https://cdn2.buenosaires.gob.ar/compromisos/16wifi.jpg,2017,Nuevos puntos BA WiFi instalados,100,,,,http://www.buenosaires.gob.ar/compromisos/duplicar-puntos-de-acceso-wifi-en-espacios-publicos-al-aire-libre
17,Un centro de salud a 15 minutos de tu casa,Un centro de salud a 15 minutos de tu casa,Nos comprometemos a completar la red de Centros de Salud de la Ciudad para que los vecinos puedan contar con uno a menos de 15 minutos de su casa en transporte público.,Ciudad a Escala Humana,humana,Desarrollo humano y Salud,,,,Mapa de hospitales y centros de salud,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_salud/,https://cdn2.buenosaires.gob.ar/compromisos/17cesacs.jpg,2019,Cobertura (zona sur),100,2019,Cobertura (total CABA),86,http://www.buenosaires.gob.ar/compromisos/un-centro-de-salud-15-minutos-de-casa
18,Médico de cabecera para las familias,Médico de cabecera para las familias,Nos comprometemos a que cada familia con cobertura pública exclusiva de salud cuente con un médico de cabecera que asegure una atención personalizada de cada paciente.,Integración Social,social,Desarrollo humano y Salud,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/18medicos.jpg,2019,Equipos médicos (zona sur),100,2019,Equipos médicos (total CABA),82,http://www.buenosaires.gob.ar/compromisos/un-medico-de-cabecera-para-cuidar-mejor-las-familias
19,7 consultas pediátricas en el primer año de vida,7 consultas pediátricas en el primer año de vida,Nos comprometemos a garantizar que los niños de familias con cobertura pública exclusiva de salud puedan realizarse 7 controles pediátricos dentro del primer año de vida.,Integración Social,social,Desarrollo humano y Salud,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/19consultas.png,2019,Equipos médicos (zona sur),100,2019,Equipos médicos (total CABA),82,http://www.buenosaires.gob.ar/compromisos/7-consultas-pediatricas-en-el-primer-ano-de-vida
20,200 obras y proyectos con participación ciudadana,200 obras y proyectos con participación ciudadana,¡Compromiso cumplido! Nos comprometimos a llevar a cabo 200 obras y proyectos con participación de los vecinos entre 2016 y 2017.,Disfrute y Convivencia,disfrute,Creatividad y Cultura,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/20participacion.jpg,2017,Obras y proyectos realizados,100,,,,http://www.buenosaires.gob.ar/compromisos/participacion-de-los-vecinos-en-200-obras-y-proyectos
21,100% esquinas accesibles,100% esquinas accesibles,Nos comprometemos a construir 16.625 rampas para mejorar la accesibilidad de todas las calles de la Ciudad para quienes tienen movilidad reducida.,Integración Social,social,Más espacio público y verde de calidad,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/rampas.png,2018,Avance de obra,98,,,,http://www.buenosaires.gob.ar/compromisos/buenos-aires-accesible-100-rampas
22,Jornada extendida para todos los chicos entre 11 y 14 años,Jornada extendida para todos los chicos entre 11 y 14 años,Nos comprometemos a extender la jornada escolar de todas las escuelas primarias y medias estatales para fortalecer las trayectorias educativas y garantizar la permanencia de todos los chicos en la escuela.,Integración Social,social,Transformación educativa,Género,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/22_jornadaextendida.jpg,2019,Escuelas con Jornada extendida,72,,,,http://www.buenosaires.gob.ar/compromisos/jornada-extendida-para-todos-los-chicos-entre-11-y-14-anos
23,Historia Clínica Electrónica en todos los centros de salud,Historia Clínica Electrónica en todos los centros de salud,¡Compromiso cumplido! Nos comprometimos a implementar la Historia Clínica Electrónica en todos los Centros de Salud de la Ciudad para seguir mejorando la atención de todos los vecinos.,Integración Social,social,Desarrollo humano y Salud,,,,Mapa de Centros de Atención Primaria,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_cesac_hce/,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/23_historia_clinica_electronica.jpg,2019,CeSACs con HCE implementada,100,,,,http://www.buenosaires.gob.ar/compromisos/historia-clinica-electronica-en-todos-los-centros-de-salud
24,Mudar el Ministerio de Educación al Barrio 31,Mudar el Ministerio de Educación al Barrio 31,"Nos comprometemos a construir en el Barrio 31 un polo educativo con un nuevo edificio para el Ministerio de Educación, una nueva escuela de nivel inicial, una de nivel primario y una escuela secundaria.",Integración Social,social,Transformación educativa,Grandes obras públicas,Desarrollo humano y Salud,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/recorrida_obra_ministerio_educacion_2_0.jpg?itok=SQKlg9dN,2019,Avance de obra,36,,,,http://www.buenosaires.gob.ar/compromisos/mudar-el-ministerio-de-educacion-al-barrio-31
25,12 polideportivos y 4 grandes parques renovados,12 polideportivos y 4 grandes parques renovados,¡Compromiso cumplido! Nos comprometimos a poner en valor 12 polideportivos y 4 grandes parques de la Ciudad para aumentar y mejorar la oferta deportiva de la Ciudad.,Disfrute y Convivencia,disfrute,Más espacio público y verde de calidad,,,,Mapa de polideportivos,https://epok.buenosaires.gob.ar/pub/mapa/deportes/programa_actividades_deportivas_en_polideportivos_y_parques/,https://www.buenosaires.gob.ar/sites/gcaba/files/25_polideportivos.jpg,2019,Avance de obra,100,,,,http://www.buenosaires.gob.ar/compromisos/12-polideportivos-y-4-grandes-parques-renovados
26,"Partidas de nacimiento en el día, en todas las Comunas","Partidas de nacimiento en el día, en todas las Comunas","¡Compromiso cumplido! Nos comprometimos a que todos los padres puedan obtener las partidas de nacimiento de sus hijos en 24hs, en su propia Comuna.",Disfrute y Convivencia,disfrute,Desarrollo humano y Salud,Creatividad y Cultura,,,Sedes comunales,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_sedes_comunales_con_registro_civil/,https://www.buenosaires.gob.ar/sites/gcaba/files/26_partidasdenacimiento.jpg,2017,Comunas donde puede realizarse el trámite,100,,,,http://www.buenosaires.gob.ar/compromisos/partidas-de-nacimiento-en-el-dia-en-todas-las-comunas
27,Iluminación LED en todas las calles,Iluminación LED en todas las calles,"Nos comprometemos a reemplazar las luminarias de todas las calles de la Ciudad por lámparas LED e instalar 15.000 nuevas luminarias. La tecnología LED es un sistema más eficiente, de mayor vida útil y que permite un ahorro energético mayor al 50%",Disfrute y Convivencia,disfrute,Más espacio público y verde de calidad,Seguridad,Género,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/27_led.jpg,2019,Avance en instalación de LED,96,,,,http://www.buenosaires.gob.ar/compromisos/iluminacion-led-en-todas-las-calles
28,Apertura de nuevas PyMES en 10 días,Apertura de nuevas PyMES en 10 días,¡Compromiso cumplido! Nos comprometimos a reducir a 10 días el tiempo de apertura de nuevas PyMEs para 2017.,Creatividad,creatividad,Creatividad y Cultura,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/28_pymes.jpg,2017,Avance en actividades,100,,,,http://www.buenosaires.gob.ar/compromisos/apertura-de-nuevas-pymes-en-10-dias
29,15.000 jóvenes capacitados para los empleos del futuro,15.000 jóvenes capacitados para los empleos del futuro,"¡Compromiso cumplido! Nos comprometimos a capacitar a 15.000 jóvenes en tecnologías disruptivas tales como robótica, modelado, impresión 3D y Arduino",Creatividad,creatividad,Transformación educativa,Creatividad y Cultura,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/29__empleos_del_futuro_1.jpg,2019,Jóvenes capacitados,100,,,,http://www.buenosaires.gob.ar/compromisos/15000-jovenes-capacitados-para-los-empleos-del-futuro
30,1 millón de nuevos vecinos en MiBA,1 millón de nuevos vecinos en MiBA,¡Compromiso cumplido! Nos comprometimos a incluir a un millón más de vecinos a esta plataforma que permite agilizar trámites y obtener información de la Ciudad de forma más sencilla y personalizada.,Creatividad,creatividad,Creatividad y Cultura,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/30_mi_ba_app_baja.jpg,2017,Usuarios registrados,100,,,,http://www.buenosaires.gob.ar/compromisos/1-millon-de-nuevos-vecinos-en-miba-app
31,5 nuevas áreas con prioridad peatonal,5 nuevas áreas con prioridad peatonal,"¡Compromiso cumplido! Nos comprometimos a desarrollar 5 nuevas áreas con prioridad peatonal, mejorando así la calidad de vida de los vecinos, la convivencia, el tránsito, la seguridad vial y el medio ambiente.",Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,Más espacio público y verde de calidad,,,Mapa de áreas con prioridad peatonal,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_prioridad_peaton/,https://www.buenosaires.gob.ar/sites/gcaba/files/31_prioridad_peatonal.jpg,2019,Avance de obra,100,,,,http://www.buenosaires.gob.ar/compromisos/5-nuevas-areas-con-prioridad-peatonal
32,Retiro de autos abandonados en 15 días,Retiro de autos abandonados en 15 días,Nos comprometemos a retirar todos los autos abandonados de la Ciudad y a reducir el tiempo a 15 días desde su notificación al titular.,Ciudad a Escala Humana,humana,Más espacio público y verde de calidad,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/32_retiro_autos_abandonados.jpg,2017,Autos retirados en 15 días,61,,,,http://www.buenosaires.gob.ar/compromisos/retiro-de-autos-abandonados-en-15-dias
33,200 estaciones de EcoBici,200 estaciones de EcoBici,¡Compromiso cumplido! Nos comprometimos a extender la red EcoBici para que la Ciudad cuente con 200 estaciones en 2017.,Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,,,,Mapa de ciclovías y estaciones EcoBici,https://epok.buenosaires.gob.ar/pub/mapa/ecobici/estaciones_de_bicicletas/,https://www.buenosaires.gob.ar/sites/gcaba/files/33_eco_bici.jpg,2017,Apertura de estaciones EcoBici,100,,,,http://www.buenosaires.gob.ar/compromisos/200-estaciones-de-ecobici
34,25 nuevos pasos bajo nivel y aperturas de calles,25 nuevos pasos bajo nivel y aperturas de calles,"Nos comprometemos a construir 25 nuevos pasos bajo nivel y aperturas de calles para mejorar la movilidad, la seguridad y fluidez del tránsito.",Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,Grandes obras públicas,,,Mapa de pasos bajo nivel,https://epok.buenosaires.gob.ar/pub/mapa/usig/pasos_bajo_nivel/,https://www.buenosaires.gob.ar/sites/gcaba/files/34_pasos_bajo_nivel.jpg,2019,Nuevos pasos bajo nivel + apertura de calles,96,,,,http://www.buenosaires.gob.ar/compromisos/25-nuevos-pasos-bajo-nivel-y-aperturas-de-calles
35,1 Centro Integral de la Mujer por Comuna,1 Centro Integral de la Mujer por Comuna,"¡Compromiso cumplido! Nos comprometimos a crear 8 nuevos Centros Integrales de la Mujer para brindar asistencia, orientación y acompañamiento a víctimas de violencia de género en todas las Comunas de la Ciudad.",Integración Social,social,Género,Seguridad,Desarrollo humano y Salud,,Mapa de CIMs,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_centros_integrales_de_la_mujer/,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/35_centro_integral_mujer.jpg,2019,Comunas con CIM,100,,,,http://www.buenosaires.gob.ar/compromisos/8-nuevos-centros-integrales-de-la-mujer
36,1000 nuevos restaurantes amigos de las mascotas,1.000 nuevos restaurantes amigos de las mascotas,¡Compromiso cumplido! Nos comprometimos a que 1.000 nuevos locales gastronómicos de la Ciudad permitan la permanencia de mascotas en las mesas exteriores en 2017.,Disfrute y Convivencia,disfrute,Más espacio público y verde de calidad,,,,Mapa de locales adheridos,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_locales_gastronomicos_amigos_de_las_mascotas/,https://www.buenosaires.gob.ar/sites/gcaba/files/field/image/inauguracio_n_canil_plaza_armenia_e_inauguracio_n_pet_friendly-_apra_-_028.jpg,2017,Nuevos restaurantes incorporados,100,,,,http://www.buenosaires.gob.ar/compromisos/1000-nuevos-restaurantes-amigos-de-las-mascotas
37,Desarrollar 20 Centros Comerciales a Cielo Abierto,Desarrollar 20 Centros Comerciales a Cielo Abierto,"¡Compromiso cumplido! Nos comprometimos a mejorar la calidad del espacio público en 20 áreas comerciales para potenciar su mayor utilización y disfrute, con la renovación de veredas, la ampliación del espacio peatonal, con más arbolado y puesta en valor de edificios.",Ciudad a Escala Humana,humana,Más espacio público y verde de calidad,,,,Mapa de CCCAs,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_centros_comerciales_a_cielo_abierto/,https://www.buenosaires.gob.ar/sites/gcaba/files/centros_comerciales_a_cielo_abierto_0.png,2017,Avance de obra,100,,,,http://www.buenosaires.gob.ar/compromisos/desarrollar-20-centros-comerciales-cielo-abierto
38,23.000 metros de obras hidráulicas y sistema de alerta temprana,23.000 metros de obras hidráulicas y sistema de alerta temprana,Nos comprometemos a realizar 23.000 metros de obras hidráulicas - incluyendo la obra del segundo emisario del Arroyo Vega y la ampliación de la red pluvial Ramal Caaguazú- y un sistema de alerta temprana para actuar rápidamente ante lluvias fuertes para solucionar de forma integral el problema de las inundaciones en la Ciudad.,Disfrute y Convivencia,disfrute,Grandes obras públicas,Más espacio público y verde de calidad,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/obras_hidraulicas_0.jpg,2019,Avance de obra,74.5,,,,http://www.buenosaires.gob.ar/compromisos/23000-metros-de-obras-hidraulicas-y-sistema-de-alerta-temprana
39,2 nuevos espacios verdes en Once,2 nuevos espacios verdes en Once,¡Compromiso cumplido! Nos comprometimos a construir el Parque de la Estación y un nuevo espacio verde en la Manzana 66 de Once como parte del plan integral de recuperación del barrio.,Ciudad a Escala Humana,humana,Más espacio público y verde de calidad,,,,Mapa de los futuros espacios verdes del barrio de Once,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_espacios_verdes_once/,https://www.buenosaires.gob.ar/sites/gcaba/files/espacios_verdes_once.png,2019,Avance de obra,100,,,,http://www.buenosaires.gob.ar/compromisos/2-nuevos-espacios-verdes-en-once
40,110 hectáreas de nuevo espacio verde público,110 hectáreas de nuevo espacio verde público,Nos comprometemos a ejecutar los más de 30 proyectos que comprenden el Plan Verde de la Ciudad para crear 160 nuevas hectáreas de espacio público de las cuales 110 son puramente verdes.,Ciudad a Escala Humana,humana,Más espacio público y verde de calidad,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/110_hectareas_verdes.jpg,2019,Nuevas hectáreas verdes públicas,38,,,,http://www.buenosaires.gob.ar/compromisos/110-hectareas-de-nuevo-espacio-verde-publico
41,Sistema online de obras públicas abiertas,Sistema online de obras públicas abiertas,"¡Compromiso cumplido! Nos comprometimos a publicar un sistema de obras públicas abiertas online, que incluya información completa sobre las obras que se están realizando en la Ciudad.",Creatividad,creatividad,Creatividad y Cultura,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/obras_publicas_abiertas_2.jpg,2017,Avance de actividades,100,,,,http://www.buenosaires.gob.ar/compromisos/sistema-online-de-obras-publicas-abiertas
42,Campus Urbano en Plaza Houssay,Campus Urbano en Plaza Houssay,"Nos comprometemos a desarrollar un polo recreativo, cultural, y gastronómico en Plaza Houssay para facilitar el encuentro y el disfrute de los vecinos, poner en valor la plaza y su entorno y facilitar la interconexión de los distintos medios de transporte.",Ciudad a Escala Humana,humana,Más espacio público y verde de calidad,Grandes obras públicas,,,Mapa,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_plaza_houssay/,https://www.buenosaires.gob.ar/sites/gcaba/files/campus_urbano_plaza_houssay_-_render_1.jpg,2019,Avance de obra,70,,,,http://www.buenosaires.gob.ar/compromisos/campus-urbano-en-plaza-houssay
43,Llegar a 250km de ciclovías y a 400 estaciones de Ecobici,Llegar a 250km de ciclovías y a 400 estaciones de Ecobici,Nos comprometemos a  extender la red de ciclovías a 250 kilómetros y llegar a 400 estaciones de Ecobici para tener una Ciudad más conectada y que priorice al peatón y la bicicleta.,Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,,,,Mapa de ciclovías y estaciones EcoBici,https://epok.buenosaires.gob.ar/pub/mapa/ecobici/estaciones_de_bicicletas/,https://www.buenosaires.gob.ar/sites/gcaba/files/si__mg_0199.jpg,2019,Km ciclovías,93,2019,Estaciones Ecobici,50,http://www.buenosaires.gob.ar/compromisos/llegar-250-km-de-ciclovias-y-400-estaciones-de-ecobici
44,Sistema de información de llegada de colectivos,Sistema de información de llegada de colectivos,Nos comprometemos a  implementar un sistema de arribo predictivo de colectivos que permitirá a los usuarios saber cuánto falta para el siguiente colectivo y viajar así mejor y más rápido.,Creatividad,creatividad,Transporte público seguro y de calidad,Seguridad,Género,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/info_llegada_colectivos_2.jpg,2018,Porcentaje de líneas con sistema,26,,,,http://www.buenosaires.gob.ar/compromisos/sistema-de-informacion-de-llegada-de-colectivos
45,Sumar 4.000 nuevos policías en las calles,Sumar 4.000 nuevos policías en las calles,¡Compromiso cumplido! Nos comprometimos a sumar 4.000 nuevos policías en las calles y plazas para cuidar mejor a nuestros vecinos.,Disfrute y Convivencia,disfrute,Seguridad,Género,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/4000_nuevos_policias.png,2019,Nuevos policías en las calles,100,,,,http://www.buenosaires.gob.ar/compromisos/sumar-4000-nuevos-policias-en-las-calles
46,"10.000 cámaras en colectivos, subtes y vía pública","10.000 cámaras en colectivos, subtes y vía pública","¡Compromiso cumplido! Nos comprometimos a incorporar 10.000 cámaras en colectivos y en la vía pública para mejorar la prevención del delito, el ordenamiento del tránsito y la seguridad de todos los vecinos.",Disfrute y Convivencia,disfrute,Transporte público seguro y de calidad,Más espacio público y verde de calidad,Seguridad,Género,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/10000_nuevas_camaras.jpg,2019,"Cámaras en colectivos, subtes y vía pública",100,,,,http://www.buenosaires.gob.ar/compromisos/10000-camaras-en-colectivos-subtes-y-publica
47,100% docentes capacitados en tecnologías digitales,100% docentes capacitados en tecnologías digitales,"Nos comprometemos a que todos los docentes -de educación inicial, primaria y secundaria- estén capacitados en las nuevas tecnologías para que nuestras escuelas estén adaptadas a los cambios y desafíos del mundo digital.",Creatividad,creatividad,Transformación educativa,Creatividad y Cultura,Género,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/docentes_capacitados.jpg,2019,Avance de actividades,78,,,,http://www.buenosaires.gob.ar/compromisos/100-docentes-capacitados-en-nuevas-tecnologias
