numero,compromiso,titulo,desc,categoria,slug,icono,subarea,area1,area2,area3,area4,embed_map_titulo,embed_map_url,imagen,n_metas,metas,metrica,cumplimiento,cumplimiento_label,porcentaje_completado,cumplimiento_2,cumplimiento_2_label,cumplimiento_2_porcentaje_completado,detalle_1,detalle_1_nombre,detalle_1_nota,detalle_1_fuente,detalle_1_descripcion,detalle_2,detalle_2_nombre,detalle_2_nota,detalle_2_fuente,detalle_2_descripcion,detalle_3,detalle_3_nombre,detalle_3_nota,detalle_3_fuente,detalle_3_descripcion,detalle_4,detalle_4_nombre,detalle_4_nota,detalle_4_fuente,detalle_4_descripcion,url_interna,comunas
11,Educación digital en sala de 5,Educación digital en sala de 5,¡Compromiso cumplido! Nos comprometimos a que en 2017 el 100% de las escuelas con sala de 5 años contasen con un atelier digital.,Creatividad,creatividad,escuela,Educación,Transformación educativa,Creatividad y Cultura,,,,,https://cdn2.buenosaires.gob.ar/compromisos/11educaciondigital.jpg,1,,,2017,Porcentaje de aulas digitales,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/11.1 Educación digital.csv,"Aulas digitales móviles incorporadas, en porcentajes",,Ministerio de Educación,,http://i.imgur.com/QoDzPxP.gif,Cómo vamos a lograrlo,,,,https://youtu.be/yZTVyQgnLG0,Cómo funcionan los Atelieres Digitales,,,,https://youtu.be/TR4aIrcU2_o,Plan Integral de Educación Digital,,,,http://www.buenosaires.gob.ar/compromisos/educacion-digital-para-los-chicos-desde-los-5-anos,"3,6,7,8"
12,30 nuevas escuelas con sala de 3 años,30 nuevas escuelas con sala de 3 años,Nos comprometemos a ampliar la cobertura educativa en niños para que puedan alcanzar su máximo potencial.,Integración Social,social,escuela,Educación,Transformación educativa,Género,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_escuelas_con_sala_de_3/,https://cdn2.buenosaires.gob.ar/compromisos/12salasdetres.jpg,1,,,2019,Avance promedio de obras,77,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/12.1 Sala de 3.csv,"Avance de las obras por escuela, en porcentaje",,Ministerio de Educación,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/30-nuevas-escuelas-para-sala-de-3-anos,"9,10,11,12,13,14,15"
13,Duplicar los alumnos con niveles superiores en desempeño en matemática,Duplicar el desempeño superior en matemática,Nos comprometemos a duplicar el doble el porcentaje de alumnos de séptimo grado de primaria en niveles medio y avanzado de desempeño en matemática en las pruebas FEPBA.,Integración Social,social,escuela,Educación,Transformación educativa,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/13matematicas.jpg,1,,,2019,Porcentaje de avance de la meta,52,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/13.1 Matematicas.csv,Porcentaje de alumnos de 7° grado de primarias estatales en los niveles más altos de desempeño en Matemática (2015-2016) e incremento proyectado al 2019 (*),"En 2016 se redefinió la metodología para clasificar los grupos de desempeño, según prácticas internacionales. Se realizó una equiparación de los resultados con años anteriores para mantener la comparabilidad.",Ministerio de Educación,,https://www.youtube.com/watch?v=9Y9bsUP6sq0,Qué se evalúa en la prueba FEPBA,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/duplicar-el-porcentaje-de-alumnos-en-niveles-superiores-de-desempeno-en-matematicas,"1,2,3,4,5"
14,1.000 policías más a la calle,1.000 policías más a la calle,"¡Compromiso cumplido! Nos comprometimos a destinar 1.000 policías adicionales a la calle para fines de 2016, de manera que puedan cuidar mejor a nuestros vecinos.",Disfrute y Convivencia,disfrute,seguridad,Seguridad,Seguridad,Género,,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/field/image/poli_1_bis.jpg,1,,,2016,Cantidad adicional de agentes en calle,100,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/destinar-1000-policias-mas-la-calle,"2,3,4,5"
15,Mapa del delito online,Mapa del delito online,¡Compromiso cumplido! Nos comprometimos a elaborar y publicar en 2017 un mapa de estadísticas delictivas para que todos los vecinos puedan consultarlo de forma online.,Disfrute y Convivencia,disfrute,seguridad,Seguridad,Seguridad,Género,,,,,https://cdn2.buenosaires.gob.ar/compromisos/15mapadelito.jpg,1,,,2017,Avance en actividades,100,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/mapa-del-delito-con-acceso-de-los-vecinos,"3,6,7,8"
16,Duplicar puntos de acceso WI FI en espacios públicos al aire libre,Duplicar puntos de acceso WIFI,¡Compromiso cumplido! Nos comprometimos a duplicar los puntos de acceso gratuito BA WiFi en espacios públicos al aire libre para mejorar y ampliar la conectividad a Internet de todos los vecinos y visitantes de la Ciudad.,Creatividad,creatividad,celular,Tecnología,Más espacio público y verde de calidad,Creatividad y Cultura,,,Mapa zonas BA WiFi,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_wifi/,https://cdn2.buenosaires.gob.ar/compromisos/16wifi.jpg,1,,,2017,Nuevos puntos BA WiFi instalados,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/16.1 WIFI.csv,Nuevos puntos WIFI al aire libre,,MMIyT,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/16.2 WIFI.csv,"Zonas WIFI gratuitas, ciudades seleccionadas",,"MMIyT, parís.fr/wifi, mdeinteligente.co, prefeitura.sp.gov.br y http://ajuntament.barcelona.cat",,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/duplicar-puntos-de-acceso-wifi-en-espacios-publicos-al-aire-libre,"9,10,11,12,13,14,15"
17,Un centro de salud a 15 minutos de tu casa,Un centro de salud a 15 minutos de tu casa,Nos comprometemos a completar la red de Centros de Salud de la Ciudad para que los vecinos puedan contar con uno a menos de 15 minutos de su casa en transporte público.,Ciudad a Escala Humana,humana,hospital,Salud,Desarrollo humano y Salud,,,,Mapa de hospitales y centros de salud,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_salud/,https://cdn2.buenosaires.gob.ar/compromisos/17cesacs.jpg,2,,,2019,Cobertura (zona sur),100,2019,Cobertura (total CABA),86,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/17.1 CESAC.csv,"Avance de las obras por centro de salud, en porcentaje",,Ministerio de Salud,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/un-centro-de-salud-15-minutos-de-casa,"1,2,3,4,5"
18,Médico de cabecera para las familias,Médico de cabecera para las familias,Nos comprometemos a que cada familia con cobertura pública exclusiva de salud cuente con un médico de cabecera que asegure una atención personalizada de cada paciente.,Integración Social,social,hospital,Salud,Desarrollo humano y Salud,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/18medicos.jpg,2,,,2019,Equipos médicos (zona sur),100,2019,Equipos médicos (total CABA),82,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/18.1 Médicos.csv,Equipos de médicos,,Ministerio de Salud,,https://youtu.be/0SG48f3DrdU,Compromiso cumplido: Historia Clínica Electrónica,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/un-medico-de-cabecera-para-cuidar-mejor-las-familias,"2,3,4,5"
19,7 consultas pediátricas en el primer año de vida,7 consultas pediátricas en el primer año de vida,Nos comprometemos a garantizar que los niños de familias con cobertura pública exclusiva de salud puedan realizarse 7 controles pediátricos dentro del primer año de vida.,Integración Social,social,hospital,Salud,Desarrollo humano y Salud,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/19consultas.png,2,,,2019,Equipos médicos (zona sur),100,2019,Equipos médicos (total CABA),82,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/19.1 Consultas pediátricas.csv,Equipos de salud,,Ministerio de Salud,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/23.2%20historia%20clinica.csv,Personas empadronadas en la Historia Clínica Electrónica,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/7-consultas-pediatricas-en-el-primer-ano-de-vida,"3,6,7,8"
20,200 obras y proyectos con participación ciudadana,200 obras y proyectos con participación ciudadana,¡Compromiso cumplido! Nos comprometimos a llevar a cabo 200 obras y proyectos con participación de los vecinos entre 2016 y 2017.,Disfrute y Convivencia,disfrute,persona,Participación,Creatividad y Cultura,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/20participacion.jpg,1,,,2017,Obras y proyectos realizados,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/20.1 Participación ciudadana.csv,Obras y proyectos con participación ciudadana,,Subsecretaría de Comunicación,,,,,,,http://cdn2.buenosaires.gob.ar/compromisos/design_infografias-27-a.png,Proceso de participación en obras,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/20.3 Participación ciudadana.csv,Cantidad de proyectos por área,,Subsecretaría de Comunicación,,http://www.buenosaires.gob.ar/compromisos/participacion-de-los-vecinos-en-200-obras-y-proyectos,"9,10,11,12,13,14,15"
21,100% esquinas accesibles,100% esquinas accesibles,Nos comprometemos a construir 16.625 rampas para mejorar la accesibilidad de todas las calles de la Ciudad para quienes tienen movilidad reducida.,Integración Social,social,persona,Accesibilidad,Más espacio público y verde de calidad,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/rampas.png,1,,,2018,Avance de obra,98,,,,,,,,,,,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/21.3 Rampas.csv,Población con movilidad reducida por Comuna y sexo,,REDATAM Censo (2010),,http://i.imgur.com/xd1bWQn.gif,Buenos Aires Accesible,,,,http://www.buenosaires.gob.ar/compromisos/buenos-aires-accesible-100-rampas,"1,2,3,4,5"
22,Jornada extendida para todos los chicos entre 11 y 14 años,Jornada extendida para todos los chicos entre 11 y 14 años,Nos comprometemos a extender la jornada escolar de todas las escuelas primarias y medias estatales para fortalecer las trayectorias educativas y garantizar la permanencia de todos los chicos en la escuela.,Integración Social,social,escuela,Educación,Transformación educativa,Género,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/22_jornadaextendida.jpg,1,,,2019,Escuelas con Jornada extendida,72,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/22.1 Jornada extendida.csv,Porcentaje de escuelas primarias con jornada extendida implementada,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/22.2 Jornada extendida.csv,Porcentaje de escuelas secundarias con jornada extendida implementada,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/22_jornada_extendida.jpg,Ventajas de la Jornada Extendida,,,,https://youtu.be/NxmeGylj7hg,,,,,http://www.buenosaires.gob.ar/compromisos/jornada-extendida-para-todos-los-chicos-entre-11-y-14-anos,"2,3,4,5"
23,Historia Clínica Electrónica en todos los centros de salud,Historia Clínica Electrónica en todos los centros de salud,¡Compromiso cumplido! Nos comprometimos a implementar la Historia Clínica Electrónica en todos los Centros de Salud de la Ciudad para seguir mejorando la atención de todos los vecinos.,Integración Social,social,persona,Salud,Desarrollo humano y Salud,,,,Mapa de Centros de Atención Primaria,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_cesac_hce/,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/23_historia_clinica_electronica.jpg,1,,,2019,CeSACs con HCE implementada,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/23.1 historia clinica.csv,"CeSACs con Historia Clínica Electrónica implementada, en porcentajes",,Ministerio de Salud,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/23.2 historia clinica.csv,Personas empadronadas en la Historia Clínica Electrónica,,Ministerio de Salud,,,,,,,http://i.imgur.com/pJPKVV2.gif,Características y beneficios de la HCE,,,,http://www.buenosaires.gob.ar/compromisos/historia-clinica-electronica-en-todos-los-centros-de-salud,"3,6,7,8"
24,Mudar el Ministerio de Educación al Barrio 31,Mudar el Ministerio de Educación al Barrio 31,"Nos comprometemos a construir en el Barrio 31 un polo educativo con un nuevo edificio para el Ministerio de Educación, una nueva escuela de nivel inicial, una de nivel primario y una escuela secundaria.",Integración Social,social,persona,Salud,Transformación educativa,Grandes obras públicas,Desarrollo humano y Salud,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/recorrida_obra_ministerio_educacion_2_0.jpg?itok=SQKlg9dN,1,,,2019,Avance de obra,36,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/mudar-el-ministerio-de-educacion-al-barrio-31,"9,10,11,12,13,14,15"
25,12 polideportivos y 4 grandes parques renovados,12 polideportivos y 4 grandes parques renovados,¡Compromiso cumplido! Nos comprometimos a poner en valor 12 polideportivos y 4 grandes parques de la Ciudad para aumentar y mejorar la oferta deportiva de la Ciudad.,Disfrute y Convivencia,disfrute,persona,Salud,Más espacio público y verde de calidad,,,,Mapa de polideportivos,https://epok.buenosaires.gob.ar/pub/mapa/deportes/programa_actividades_deportivas_en_polideportivos_y_parques/,https://www.buenosaires.gob.ar/sites/gcaba/files/25_polideportivos.jpg,1,,,2019,Avance de obra,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/25.1 Polideportivos.csv,Avance por obras,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/12-polideportivos-y-4-grandes-parques-renovados,"1,2,3,4,5"
26,"Partidas de nacimiento en el día, en todas las Comunas","Partidas de nacimiento en el día, en todas las Comunas","¡Compromiso cumplido! Nos comprometimos a que todos los padres puedan obtener las partidas de nacimiento de sus hijos en 24hs, en su propia Comuna.",Disfrute y Convivencia,disfrute,persona,Salud,Desarrollo humano y Salud,Creatividad y Cultura,,,Sedes comunales,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_sedes_comunales_con_registro_civil/,https://www.buenosaires.gob.ar/sites/gcaba/files/26_partidasdenacimiento.jpg,1,,,2017,Comunas donde puede realizarse el trámite,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/26.1 Partidas.csv,Comunas que cuentan con delegación del Registro Civil,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/26_partidas_nacimiento.jpg,Cómo solicitar una partida de nacimiento online,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/partidas-de-nacimiento-en-el-dia-en-todas-las-comunas,"2,3,4,5"
27,Iluminación LED en todas las calles,Iluminación LED en todas las calles,"Nos comprometemos a reemplazar las luminarias de todas las calles de la Ciudad por lámparas LED e instalar 15.000 nuevas luminarias. La tecnología LED es un sistema más eficiente, de mayor vida útil y que permite un ahorro energético mayor al 50%",Disfrute y Convivencia,disfrute,persona,Salud,Más espacio público y verde de calidad,Seguridad,Género,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/27_led.jpg,1,,,2019,Avance en instalación de LED,96,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/27.1 Iluminacion LED.csv,"Luminarias LED por comuna, en porcentajes",Cálculo sobre la base de la cantidad proyectada por comuna. Incluye reemplazo de lámparas antiguas y nuevas instaladas.,Ministerio de Ambiente y Espacio Público,,,,,,,http://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/27_ilumin_led.jpg,Beneficios de la iluminación LED,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/iluminacion-led-en-todas-las-calles,"3,6,7,8"
28,Apertura de nuevas PyMES en 10 días,Apertura de nuevas PyMES en 10 días,¡Compromiso cumplido! Nos comprometimos a reducir a 10 días el tiempo de apertura de nuevas PyMEs para 2017.,Creatividad,creatividad,persona,Tecnología,Creatividad y Cultura,,,,,,https://www.buenosaires.gob.ar/sites/gcaba/files/28_pymes.jpg,1,,,2017,Avance en actividades,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/28.1 Pymes.csv,"Avance por etapas, en porcentajes",,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/28.2 Pymes.csv,Comparativa internacional: tiempo promedio para la apertura de nuevas empresas (2016),Datos del Ranking Doing Business,Banco Mundial (2016),,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/apertura-de-nuevas-pymes-en-10-dias,"9,10,11,12,13,14,15"
