direccion,latitude,longitude,numero,compromiso,accion,eje,Area temática,anio,Barrio,Comuna,descripcion
Av. Asamblea y Emilio Mitre,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Parque Chacabuco,Disfrute y Convivencia,,2019,,,
Aguaribay y Gana,-35,-59,5,12 plazas nuevas (2019),Plaza Aguaribay 6768,Disfrute y Convivencia,,2019,,,12 Nuevas Plazas (Aguaribay 6768)
Albarracin y Av. Vernet,-35,-58,5,12 plazas nuevas (2019),Plaza Albarracín 1470,Disfrute y Convivencia,,2019,,,
Empedrado 2391,-35,-58,5,12 plazas nuevas (2019),Plaza Empedrado,Disfrute y Convivencia,,2019,,,
Cramer 475,-35,-58,5,12 plazas nuevas (2019),Plaza Cramer,Disfrute y Convivencia,,2019,,,
Beiró y Estado Plurinacional de Bolivia,-35,-58,5,12 plazas nuevas (2019),Plaza Paso Bajo Nivel Beiró,Disfrute y Convivencia,,2019,AGRONOMIA,15,
Figueroa Alcorta y Romero,-35,-58,5,12 plazas nuevas (2019),Plaza República Federativa de Brasil,Disfrute y Convivencia,,2019,RECOLETA,2,
Monroe y Homberg,-35,-58,5,12 plazas nuevas (2019),Plaza Monroe,Disfrute y Convivencia,,2019,VILLA URQUIZA,12,
Godoy Cruz y Paraguay,-35,-58,5,12 plazas nuevas (2019),Plaza de las Ciencias,Disfrute y Convivencia,,2019,PALERMO,14,
Elcano y Del Campo,-35,-58,5,12 plazas nuevas (2019),Plaza Elcano,Disfrute y Convivencia,,2019,PATERNAL,15,
PEPIRI 135,-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Polideportivo Parque Patricios,Disfrute y Convivencia,,2019,PARQUE PATRICIOS,4,Renovar 12 Polideportivos y 4 grandes parques (Polideportivo Parque Patricios)
MERCEDES 1300,-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO POMAR,Disfrute y Convivencia,,2019,FLORESTA,10,
PATRON 6222,-35,-59,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO SANTOJANNI,Disfrute y Convivencia,,2019,LINIERS,9,
"PERON, EVA AV. 1410",-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO CHACABUCO,Disfrute y Convivencia,,2019,PARQUE CHACABUCO,7,
ORURO 1300,-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO MARTIN FIERRO,Disfrute y Convivencia,,2019,SAN CRISTOBAL,3,
"DE LA TORRE, LISANDRO AV. y MONTE",-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO DORREGO,Disfrute y Convivencia,,2019,MATADEROS,9,
DE LOS CONSTITUYENTES AV. 3050,-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO COSTA RICA,Disfrute y Convivencia,,2019,AGRONOMIA,15,
"FREIRE, RAMON, CAP. GRAL. 234",-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO COLEGIALES,Disfrute y Convivencia,,2019,COLEGIALES,13,
"MISTRAL, GABRIELA 3819",-35,-59,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO ONEGA,Disfrute y Convivencia,,2019,VILLA DEVOTO,11,
"HORNOS, GRAL. 1800",-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO DON PEPE,Disfrute y Convivencia,,2019,BARRACAS,4,
LACARRA AV. 1257,-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO AVELLANEDA,Disfrute y Convivencia,,2019,PARQUE AVELLANEDA,9,
VELEZ SARSFIELD AV. 1271,-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO PEREYRA,Disfrute y Convivencia,,2019,BARRACAS,4,
"SALGUERO, JERONIMO 3450",-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),KDT - Manuel Belgrano,Disfrute y Convivencia,,2019,PALERMO,14,
"BALBIN, RICARDO, DR. AV. 4750",-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Parque Sarmiento,Disfrute y Convivencia,,2019,SAAVEDRA,12,
"ROCA, CNEL. AV. 3490",-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Parque Roca,Disfrute y Convivencia,,2019,VILLA SOLDATI,8,
Av. Valentín Alsina y Av. Ernesto Tornquist,-35,-58,25,12 Polideportivos y 4 grandes parques renovados (2019),Parque Golf,Disfrute y Convivencia,,2019,PALERMO,14,
Avenida Jujuy y Avenida Belgrano,-35,-58,39,2 nuevos espacios verdes en Once (2018),Manzana 66,Escala Humana,,2018,BALVANERA,3,
"Perón, Entre Gallo y Anchorena",-35,-58,39,2 nuevos espacios verdes en Once (2018),Parque de la Estación,Escala Humana,,2018,BALVANERA,3,
IGUAZU Y USPALLATA,-35,-58,33,200 estaciones de Eco Bici(2017),PARQUE PATRICIOS,Escala Humana,,2017,PARQUE PATRICIOS,4,200 Estaciones de EcoBici (Estación Parque Patricios)
REGIMIENTO DE PATRICIOS Y ARAOZ DE LAMADRID,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MINISTERIO DE JUSTICIA Y SEGURIDAD (126),Escala Humana,,2017,BARRACAS,4,
SENILLOSA 1905 Y ZAÑARTU,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - SENILLOSA (67),Escala Humana,,2017,PARQUE CHACABUCO,7,
AVELINO DIAZ 499 Y DOBLAS,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - AVELINO DIAZ (97),Escala Humana,,2017,PARQUE CHACABUCO,7,
PERDRIEL Y FINOCHIETTO ENRIQUE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - HOSPITAL BRITANICO (138),Escala Humana,,2017,BARRACAS,4,
PINZON 469 Y MARTIN RODRIGUEZ,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PINZON (176),Escala Humana,,2017,BOCA,4,
15 DE NOVIEMBRE DE 1889 2687 ENTRE CATAMARCA Y JUJUY,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - 15 DE NOVIEMBRE (105),Escala Humana,,2017,PARQUE PATRICIOS,4,
SALCEDO 3401 Y VIRREY LINIERS,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - VIRREY LINIERS (139),Escala Humana,,2017,BOEDO,5,
SALCEDO 2908 Y DEAN FUNES,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - SALCEDO (92),Escala Humana,,2017,PARQUE PATRICIOS,4,
RUY DIAZ DE GUZMAN Y AV. MARTIN GARCIA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - RUY DIAZ DE GUZMAN (73),Escala Humana,,2017,BARRACAS,4,
JUAN MANUEL BLANES 383,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - JUAN MANUEL BLANES (153),Escala Humana,,2017,BOCA,4,
CONSTITUCION 4101 Y TREINTA Y TRES ORIENTALES,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - TREINTA Y TRES ORIENTALES (49),Escala Humana,,2017,BOEDO,5,
CAFFARENA AGUSTIN Y DON PEDRO DE MENDOZA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - USINA DEL ARTE (108),Escala Humana,,2017,BOCA,4,
AV MARTIN GARCIA E IRALA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PARQUE LEZAMA (6),Escala Humana,,2017,SAN TELMO,1,
BRASIL Y DEFENSA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - BRASIL (172),Escala Humana,,2017,SAN TELMO,1,
DOBLAS 608 Y VALLE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - DOBLAS (80),Escala Humana,,2017,CABALLITO,6,
CARLOS CALVO ENTRE VIRREY LINIERS Y SANCHEZ DE LORIA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA BOEDO (28),Escala Humana,,2017,BOEDO,5,
HOSPITAL FRANCES: CARLOS CALVO Y LA RIOJA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - HOSPITAL FRANCES (146),Escala Humana,,2017,SAN CRISTOBAL,3,
AV SAN JUAN 632,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA CECILIA GRIERSON (173),Escala Humana,,2017,SAN TELMO,1,
SAAVEDRA 1027 ENTRE CARLOS CALVO Y HUMBERTO 1Ñ,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - SAAVEDRA (86),Escala Humana,,2017,SAN CRISTOBAL,3,
CARLOS CALVO Y SARANDI,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - CARLOS CALVO (93),Escala Humana,,2017,SAN CRISTOBAL,3,
GUAYAQUIL 213 Y DOBLAS,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - GUAYAQUIL (87),Escala Humana,,2017,CABALLITO,6,
ROSARIO VERA PEÑALOZA Y OLGA COSSETTINI,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - VERA PEÑALOZA (150),Escala Humana,,2017,PUERTO MADERO,1,
ESTADOS UNIDOS ENTRE AZOPARDO Y HUERGO AV,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - FACULTAD DE INGENIERIA (164),Escala Humana,,2017,SAN TELMO,1,
"AGRELO ENTRE  GRAL. URQUIZA, Y GRAL. LA RIOJA",-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - HOSPITAL RAMOS MEJIA (120),Escala Humana,,2017,BALVANERA,3,
PASCO 708 ENTRE CHILE Y AV INDEPENDENCIA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PASCO (91),Escala Humana,,2017,BALVANERA,3,
VERA PEÑALOSA ENTRE CALABRIA Y JULIETA LANTERI,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - JULIETA LANTERI (152),Escala Humana,,2017,PUERTO MADERO,1,
AV. INDEPENDENCIA Y 9 DE JULIO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - INDEPENDENCIA (18),Escala Humana,,2017,MONSERRAT,1,
SAAVEDRA Y MEXICO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MEXICO (118),Escala Humana,,2017,BALVANERA,3,
PERU 726,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - CHILE (46),Escala Humana,,2017,SAN TELMO,1,
BALCARCE 683 ENTRE CHILE Y DEFENSA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - BALCARCE (81),Escala Humana,,2017,MONSERRAT,1,
MOREAU DE JUSTO 1500,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PUERTO MADERO - UCA (10),Escala Humana,,2017,PUERTO MADERO,1,
LIMA Y MEXICO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - LIMA (149),Escala Humana,,2017,MONSERRAT,1,
VENEZUELA 2091 Y RINCON,-35,-58,,200 estaciones de Eco Bici(2017),Estación de EcoBici: Rincon,Escala Humana,,2017,BALVANERA,3,
BALCARCE 482 ENTRE BELGRANO Y VENEZUELA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - BELGRANO (57),Escala Humana,,2017,MONSERRAT,1,
MISIONES ENTRE ADOLFO ALSINA Y MORENO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MISIONES  (88),Escala Humana,,2017,BALVANERA,3,
9 DE JULIO Y MORENO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - 9 DE JULIO (112),Escala Humana,,2017,MONSERRAT,1,
PICHINCHA ENTRE ADOLFO ALSINA Y MORENO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA PRIMERO DE MAYO (75),Escala Humana,,2017,BALVANERA,3,
DON BOSCO Y VIRREY LINIERS,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - DON BOSCO (134),Escala Humana,,2017,ALMAGRO,5,
AZUCENA VILLAFLOR 553 ENTRE CALABRIA Y AIME PAINE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - AIME PAINE (151),Escala Humana,,2017,PUERTO MADERO,1,
AZUCENA VILLAFLOR Y PIERINA DEALESSI,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - AZUCENA VILLAFLOR (79),Escala Humana,,2017,PUERTO MADERO,1,
MORENO 834 ENTRE TACUARI Y PIEDRAS,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MORENO (98),Escala Humana,,2017,MONSERRAT,1,
SARANDI ENTRE ADOLFO ALSINA E HIPOLITO YRIGOYEN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - SARANDI (77),Escala Humana,,2017,BALVANERA,3,
AV. ING.HUERGO Y AV. BELGRANO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ADUANA (3),Escala Humana,,2017,MONSERRAT,1,
BOLIVAR ENTRE ADOLFO ALSINA Y MORENO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - COLEGIO NACIONAL BUENOS AIRES (47),Escala Humana,,2017,MONSERRAT,1,
ADOLFO ALSINA Y BERNARDO DE IRIGOYEN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ALSINA (24),Escala Humana,,2017,MONSERRAT,1,
PERU Y DIAGONAL SUR,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - LEGISLATURA (EX PLAZA DE MAYO) (16),Escala Humana,,2017,MONSERRAT,1,
AV. HIPOLITO YRIGOYEN Y VIRREY CEBALLOS,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - CONGRESO (8),Escala Humana,,2017,MONSERRAT,1,
PLAZA MISERERE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ONCE (13),Escala Humana,,2017,BALVANERA,3,
BALCARCE 101 ENTRE AV. HIPOLITO YRIGOYEN Y ALSINA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MINISTERIO DE ECONOMIA (61),Escala Humana,,2017,MONSERRAT,1,
PATRICIAS ARGENTINAS Y CARLOS FINLAY,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PARQUE CENTENARIO (29),Escala Humana,,2017,CABALLITO,6,
ESMERALDA Y RIVADAVIA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PIEDRAS (37),Escala Humana,,2017,SAN NICOLAS,1,
SAN MARTIN Y RIVADAVIA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - CATEDRAL (32),Escala Humana,,2017,SAN NICOLAS,1,
SANCHEZ DE BUSTAMANTE Y PERON JUAN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - SANCHEZ DE BUSTAMANTE (52),Escala Humana,,2017,ALMAGRO,5,
DR. RODOLFO RIVAROLA 175 ENTRE TTE. GRAL. JUAN DOMINGO PERON Y BARTOLOME MITRE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - RIVAROLA (68),Escala Humana,,2017,SAN NICOLAS,1,
PLAZA ALMAGRO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA ALMAGRO (17),Escala Humana,,2017,ALMAGRO,5,
AV. 9 DE JULIO Y TTE. GRAL JUAN DOMINGO PERON,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - OBELISCO (7),Escala Humana,,2017,SAN NICOLAS,1,
PERON JUAN ENTRE 25 DE MAYO Y RECONQUISTA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PERON (48),Escala Humana,,2017,SAN NICOLAS,1,
MAIPU Y SARMIENTO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MAIPU (36),Escala Humana,,2017,SAN NICOLAS,1,
MACACHA GUEMES Y JUANA MANSO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MACACHA GUEMES (111),Escala Humana,,2017,PUERTO MADERO,1,
BILLINGHURST 455 Y VALENTIN GOMEZ,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - BILLINGHURST Y VALENTIN GOMEZ (143),Escala Humana,,2017,ALMAGRO,5,
"SARMIENTO 481, ENTRE RECONQUISTA Y SAN MARTIN",-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - SARMIENTO (40),Escala Humana,,2017,SAN NICOLAS,1,
PLAZA HIPOLITO BOUCHARD - AV EDUARDO MADERO Y PERON JUAN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA HIPOLITO BOUCHARD (128),Escala Humana,,2017,SAN NICOLAS,1,
ESMERALDA Y AV CORRIENTES,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ESMERALDA Y CORRIENTES (175),Escala Humana,,2017,SAN NICOLAS,1,
PADILLA Y WARNES AV,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PADILLA (31),Escala Humana,,2017,VILLA CRESPO,15,
AV CORRIENTES Y SAN MARTIN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - CORRIENTES (132),Escala Humana,,2017,SAN NICOLAS,1,
LAVALLE ENTTRE MONTEVIDEO Y PARANA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PARANA (83),Escala Humana,,2017,SAN NICOLAS,1,
AV. ROQUE SAENZ PEÑA 1149 ENTRE LIBERTAD Y CERRITO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - CERRITO (71),Escala Humana,,2017,SAN NICOLAS,1,
AYACUCHO 595 ENTRE TUCUMAN Y LAVALLE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - LAVALLE (84),Escala Humana,,2017,BALVANERA,3,
ESMERALDA 510,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ESMERALDA (95),Escala Humana,,2017,SAN NICOLAS,1,
HUMAHUACA 3918,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - HUMAHUACA (161),Escala Humana,,2017,ALMAGRO,5,
BOULOGNE SUR MER Y TUCUMAN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PUEYRREDON (144),Escala Humana,,2017,BALVANERA,3,
GUARDIA VIEJA 3606 ENTRE BILLINGHURST Y MARIO BRAVO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - GUARDIA VIEJA (110),Escala Humana,,2017,ALMAGRO,5,
LAVALLE Y BOUCHARD,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA ROMA (4),Escala Humana,,2017,SAN NICOLAS,1,
25 DE MAYO Y LAVALLE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - 25 DE MAYO (60),Escala Humana,,2017,SAN NICOLAS,1,
TUCUMAN Y URUGUAY,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - URUGUAY (45),Escala Humana,,2017,SAN NICOLAS,1,
TUCUMAN Y CERRITO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - TUCUMAN (51),Escala Humana,,2017,SAN NICOLAS,1,
TRIBUNALES,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - TRIBUNALES (11),Escala Humana,,2017,SAN NICOLAS,1,
EMMA DE LA BARRA Y JUANA MANSO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - JUANA MANSO (26),Escala Humana,,2017,PUERTO MADERO,1,
YATAY 925 ENTRE HUMAHUACA Y GUARDIA VIEJA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - YATAY (121),Escala Humana,,2017,ALMAGRO,5,
SUIPACHA Y VIAMONTE,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - SUIPACHA (23),Escala Humana,,2017,SAN NICOLAS,1,
GALLO Y TUCUMAN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - GALLO (154),Escala Humana,,2017,BALVANERA,3,
VELASCO 285 ENTRE JULIAN ALVAREZ Y LAVALLEJA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - VELASCO (129),Escala Humana,,2017,VILLA CRESPO,15,
ACEVEDO Y PADILLA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ACEVEDO (136),Escala Humana,,2017,VILLA CRESPO,15,
"SAN MARTIN 710, ENTRE VIAMONTE Y CORDOBA",-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - GALERIAS PACIFICO (34),Escala Humana,,2017,SAN NICOLAS,1,
AV. CORDOBA Y MONTEVIDEO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MONTEVIDEO (27),Escala Humana,,2017,SAN NICOLAS,1,
VIAMONTE 101 Y BOUCHARD,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - BOUCHARD (55),Escala Humana,,2017,SAN NICOLAS,1,
PLAZA HOUSSAY,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA HOUSSAY (43),Escala Humana,,2017,RECOLETA,2,
LAVALLE Y ACUÑA DE FIGUEROA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ACUÑA DE FIGUEROA (54),Escala Humana,,2017,ALMAGRO,5,
URIBURU Y MARCELO T. DE ALVEAR,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - FACULTAD DE MEDICINA (33),Escala Humana,,2017,RECOLETA,2,
CERRITO Y MARCELO T. DE ALVEAR,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA LIBERTAD (38),Escala Humana,,2017,RETIRO,1,
LERMA 185 Y JULIAN ALVAREZ,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - LERMA (109),Escala Humana,,2017,VILLA CRESPO,15,
MARCELO T DE ALVEAR Y SUIPACHA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MARCELO T. DE ALVEAR (135),Escala Humana,,2017,RETIRO,1,
MALABIA 780 Y LOYOLA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - MALABIA (99),Escala Humana,,2017,VILLA CRESPO,15,
SAN MARTIN 1031,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - RICARDO ROJAS (53),Escala Humana,,2017,RETIRO,1,
ECUADOR 1200 Y MANSILLA,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - ECUADOR (69),Escala Humana,,2017,RECOLETA,2,
PLAZA SAN MARTIN,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - PLAZA SAN MARTIN (19),Escala Humana,,2017,RETIRO,1,
CARLOS M. DELLA PAOLERA 297 ENTRE LEANDRO N ALEM Y EDUARDO MADERO,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - DELLA PAOLERA (114),Escala Humana,,2017,RETIRO,1,
DE LA CARCOVA 3508,-35,-58,33,200 estaciones de Eco Bici(2017),ECOBICI - BILLINGHURST (66),Escala Humana,,2017,RECOLETA,2,
